time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z
0.855,3.00013899803162,-0.851940929889679,-0.767763733863831,-0.000120995662226086,-3.63575031348755e-05,-9.37215995875945e-05,0.161179855465889,-0.0329739116132259,0.281538665294647,0,0,0,0,0,0
0.8575,3.00013875961304,-0.851940989494324,-0.76776397228241,-9.80450415361658e-05,-3.4426793783667e-05,-6.53543053596367e-05,0.126703634858131,-0.0633788034319878,0.252738237380981,0,0,0,0,0,0
0.86,3.00013852119446,-0.851941049098969,-0.767764091491699,-0.000123435203288007,-2.31432201382752e-05,-7.89250307344553e-05,0.127380773425102,-0.0625257343053818,0.252170473337173,0,0,0,0,0,0
0.8625,3.00013828277588,-0.851941049098969,-0.767764329910278,-0.000128835803220106,-1.96718687649982e-05,-8.12186184470254e-05,0.127756997942924,-0.0620698183774948,0.251802086830139,0,0,0,0,0,0
0.865,3.0001380443573,-0.851941108703613,-0.767764508724213,-0.000149888605930408,-2.35049338700207e-05,-8.92926972275333e-05,0.127781838178635,-0.0620942190289497,0.252060234546661,0,0,0,0,0,0
0.8675,3.00013780593872,-0.851941168308258,-0.767764747142792,-0.000143555214608253,-8.3916948442903e-06,-8.16679716661243e-05,0.138599276542664,-0.102653741836548,0.35902726650238,0,0,0,0,0,0
0.87,3.00013756752014,-0.851941227912903,-0.767764925956726,-0.000146783675330617,-5.34291039765514e-06,-0.000108325655629013,0.138352796435356,-0.10279381275177,0.359603554010391,0,0,0,0,0,0
0.8725,3.00015020370483,-0.85193145275116,-0.767769515514374,-0.000149482599226758,-1.60151848831447e-05,-0.000117585477710236,0.138370916247368,-0.103242352604866,0.359508126974106,0,0,0,0,0,0
0.875,3.00014996528625,-0.851931512355804,-0.767769813537598,-0.000131882660355409,1.14530188954645e-05,-0.000119671848121717,0.139032080769539,-0.103740036487579,0.358652204275131,0,0,0,0,0,0
0.8775,3.00014972686768,-0.85193145275116,-0.767770171165466,-0.000123385406979302,1.99005331019679e-06,-0.000125996263316154,0.135920092463493,-0.13736417889595,0.570456624031067,0,0,0,0,0,0
0.88,3.0001494884491,-0.85193145275116,-0.76777046918869,-0.000154249392011995,1.93477836462763e-05,-0.000105447199991046,0.136197209358215,-0.137654632329941,0.570508897304535,0,0,0,0,0,0
0.8825,3.00014925003052,-0.851931393146515,-0.767770707607269,-0.000167381777256966,1.76857035758643e-05,-0.00012312295579137,0.136272266507149,-0.137375682592392,0.570813298225403,0,0,0,0,0,0
0.885,3.00014877319336,-0.85193133354187,-0.767771065235138,-0.000141422153867104,2.93313382427306e-05,-0.000112145022474488,0.136579483747482,-0.136673152446747,0.571108639240265,0,0,0,0,0,0
0.8875,3.00014853477478,-0.851931214332581,-0.767771303653717,-0.000153279476973494,4.06534990951699e-05,-0.000115697868042564,0.164077073335648,-0.119488999247551,0.707312226295471,0,0,0,0,0,0
0.89,3.0001482963562,-0.851931095123291,-0.767771601676941,-0.00013949428433497,2.76234621546447e-05,-0.000105339475959067,0.165141880512238,-0.118257015943527,0.707781136035919,0,0,0,0,0,0
0.8925,3.00014805793762,-0.851931035518646,-0.767771899700165,-0.000139879467441884,3.1844333032999e-05,-8.6336230314382e-05,0.166376397013664,-0.117127567529678,0.707360625267029,0,0,0,0,0,0
0.895,3.00014781951904,-0.851930975914001,-0.767772078514099,-0.000116188790394456,8.64803347450255e-06,-9.21556716142045e-05,0.167613193392754,-0.116543173789978,0.706388056278229,0,0,0,0,0,0
0.8975,3.00014209747314,-0.851934373378754,-0.767770051956177,-0.000134174042614177,2.88331029878464e-05,-7.30523170204833e-05,0.216338858008385,-0.0836153849959373,0.761718273162842,0,0,0,0,0,0
0.9,3.00014185905457,-0.851934254169464,-0.767770230770111,-0.000118282730188904,3.40006860160658e-05,-6.14807354673258e-05,0.217454865574837,-0.0831520110368729,0.761099755764008,0,0,0,0,0,0
0.9025,3.00014162063599,-0.851934194564819,-0.767770349979401,-0.000120121207729749,2.64954345355684e-05,-7.06299054055574e-05,0.218695357441902,-0.0826105773448944,0.761046946048737,0,0,0,0,0,0
0.905,3.00014138221741,-0.851934134960175,-0.767770528793335,-9.0947970467371e-05,2.97358810433015e-05,-9.05211544223079e-05,0.219799220561981,-0.0820449367165565,0.760953843593597,0,0,0,0,0,0
0.9075,3.00014138221741,-0.85193407535553,-0.767770826816559,-0.000113265113399151,4.96081250556029e-05,-0.0001034688073397,0.23236495256424,-0.0451558455824852,0.939985454082489,0,0,0,0,0,0
0.91,3.00014090538025,-0.85193395614624,-0.767771124839783,-8.78546369727303e-05,4.75289761394017e-05,-0.000105263752477943,0.232562854886055,-0.0445698834955692,0.939904391765594,0,0,0,0,0,0
0.9125,3.00014090538025,-0.851933836936951,-0.767771422863007,-6.44782972276491e-05,5.87090272380792e-05,-0.000107090023053316,0.233096167445183,-0.0442021191120148,0.940434753894806,0,0,0,0,0,0
0.915,3.00014066696167,-0.851933658123016,-0.76777172088623,-6.94467877913556e-05,7.05943929513504e-05,-0.000115835643156091,0.23400142788887,-0.0445395521819592,0.941145241260529,0,0,0,0,0,0
0.9175,3.00014042854309,-0.851933479309082,-0.767772018909454,-7.5510266558994e-05,7.33244764039001e-05,-0.000124958529205122,0.255606263875961,-0.00858184415847063,1.19530856609344,0,0,0,0,0,0
0.92,3.00014019012451,-0.851933240890503,-0.767772376537323,-7.55027026150745e-05,6.67869845743721e-05,-0.000110658826652761,0.257551044225693,-0.00850683357566595,1.19520533084869,0,0,0,0,0,0
0.9225,3.00013184547424,-0.851938605308533,-0.767769932746887,-6.07149122515693e-05,4.8694168071961e-05,-9.41731123020872e-05,0.260044485330582,-0.00813291594386101,1.19475543498993,0,0,0,0,0,0
0.925,3.00013160705566,-0.851938486099243,-0.767770171165466,-7.86345225452938e-05,5.14757601000092e-05,-0.00010335961771958,0.262450665235519,-0.00765968719497323,1.19440174102783,0,0,0,0,0,0
0.9275,3.00013136863708,-0.851938366889954,-0.76777046918869,-6.7183321482594e-05,3.05855802738691e-05,-8.50324828776728e-05,0.285233855247498,0.0344052985310555,1.28315412998199,0,0,0,0,0,0
0.93,3.00013113021851,-0.851938307285309,-0.767770648002625,-6.58856557460148e-05,1.71465685083631e-05,-5.89321568916562e-05,0.286916732788086,0.0347869582474232,1.28289198875427,0,0,0,0,0,0
0.9325,3.00013089179993,-0.851938307285309,-0.767770767211914,-7.50642909803267e-05,1.74439256044559e-05,-6.24643085950033e-05,0.287910580635071,0.034543115645647,1.28257811069489,0,0,0,0,0,0
0.935,3.00013065338135,-0.851938247680664,-0.767770946025848,-5.09641573452591e-05,2.43616557236179e-05,-8.16481356481691e-05,0.288749128580093,0.0341458804905415,1.28237330913544,0,0,0,0,0,0
0.9375,3.00013041496277,-0.851938128471375,-0.767771184444427,-6.43356614572475e-05,2.55479805954e-05,-9.62556104569845e-05,0.27782815694809,0.0775946080684662,1.37638366222382,0,0,0,0,0,0
0.94,3.00013017654419,-0.85193806886673,-0.767771422863007,-4.98252387605474e-05,4.12983903677058e-05,-9.8980253727999e-05,0.278872519731522,0.0783744305372238,1.37592995166779,0,0,0,0,0,0
0.9425,3.00012993812561,-0.85193794965744,-0.767771661281586,-3.58575464751484e-05,4.96577391058256e-05,-0.000109489401603715,0.279884040355682,0.0790017545223236,1.37533462047577,0,0,0,0,0,0
0.945,3.00012969970703,-0.851937830448151,-0.76777195930481,-6.21304292839982e-05,3.8279218034118e-05,-0.000118748139595593,0.280823856592178,0.0793641805648804,1.37495422363281,0,0,0,0,0,0
0.9475,3.00012946128845,-0.851937770843506,-0.767772257328033,-3.83569528181735e-05,4.03415474412927e-05,-0.000102604184246053,0.262866348028183,0.0640778839588165,1.41016256809235,0,0,0,0,0,0
0.95,3.00012922286987,-0.851937651634216,-0.767772495746613,-2.492292752632e-05,2.09088614384865e-05,-9.7224254876621e-05,0.264323085546494,0.064849965274334,1.4101197719574,0,0,0,0,0,0
0.9525,3.00012922286987,-0.851937651634216,-0.767772734165192,2.40687141514423e-06,1.44487521544353e-05,-7.60375059764167e-05,0.266532212495804,0.065479651093483,1.41007721424103,0,0,0,0,0,0
0.955,3.00012922286987,-0.851937592029572,-0.767772912979126,3.79945073608458e-06,1.48455852589589e-05,-8.88015102174938e-05,0.269406855106354,0.0657674223184586,1.41021108627319,0,0,0,0,0,0
0.9575,3.00012922286987,-0.851937532424927,-0.767773151397705,1.61319680827067e-05,3.11492442806915e-05,-8.18822555619633e-05,0.31457993388176,0.0438070371747017,1.31856143474579,0,0,0,0,0,0
0.96,3.00012922286987,-0.851937413215637,-0.767773330211639,-1.24201931160655e-05,4.59550252213216e-05,-7.62570794433036e-05,0.316140085458755,0.0439698770642281,1.31872999668121,0,0,0,0,0,0
0.9625,3.00012922286987,-0.851937294006348,-0.767773509025574,-1.82006894700131e-05,5.09264742723759e-05,-7.47350951939327e-05,0.316866338253021,0.0441197790205479,1.3183696269989,0,0,0,0,0,0
0.965,3.00012922286987,-0.851937174797058,-0.767773687839508,-2.09551356663828e-05,7.56361984571401e-05,-8.47586787803627e-05,0.317357271909714,0.0436648540198803,1.31756150722504,0,0,0,0,0,0
0.9675,3.00012922286987,-0.851936936378479,-0.767773866653442,-3.48487693473906e-06,5.91675751279289e-05,-8.16614888698225e-05,0.268414855003357,0.00285719241946936,1.36647999286652,0,0,0,0,0,0
0.97,3.00012922286987,-0.851936817169189,-0.767774045467377,-4.24462029494457e-05,0.000109821556302707,-4.3206823926673e-05,0.269069582223892,0.00241378229111433,1.36536586284637,0,0,0,0,0,0
0.9725,3.00012898445129,-0.851936459541321,-0.767774105072021,-3.65144092209504e-05,0.000105968634481144,-6.13985653283804e-05,0.270034790039062,0.00251016905531287,1.36494207382202,0,0,0,0,0,0
0.975,3.00012874603271,-0.851936161518097,-0.767774283885956,-3.88367737072541e-05,0.000115611278966515,-5.5721156524499e-05,0.270940244197845,0.00285354699008167,1.36505115032196,0,0,0,0,0,0
0.9775,3.00012850761414,-0.851935863494873,-0.76777446269989,-4.61773585723879e-05,0.000129857682967651,-6.88745047802776e-05,0.242735341191292,-0.0185328479856253,1.45468175411224,0,0,0,0,0,0
0.98,3.00012826919556,-0.851935505867004,-0.767774641513824,-7.16834957132947e-05,0.000116361168043713,-4.18961274138933e-05,0.243726253509521,-0.017236016690731,1.45379996299744,0,0,0,0,0,0
0.9825,3.00012803077698,-0.851935267448425,-0.767774760723114,-8.00112308023669e-05,0.000132883524241167,-1.04529197371875e-05,0.244499191641808,-0.0157380271703005,1.45267057418823,0,0,0,0,0,0
0.985,3.0001277923584,-0.851934909820557,-0.767774760723114,-8.85472491687292e-05,0.000149550503564783,-2.47794806816744e-05,0.245320677757263,-0.0148245859891176,1.45157086849213,0,0,0,0,0,0
0.9875,3.00012755393982,-0.851934552192688,-0.767774879932404,-8.51521174684421e-05,0.000171503398311599,-1.53321212113318e-05,0.238014698028564,-0.0283896345645189,1.45715796947479,0,0,0,0,0,0
0.99,3.00012731552124,-0.85193407535553,-0.767774879932404,-0.000124040276455289,0.000180663203108994,-2.68368374254382e-05,0.238719299435616,-0.0278782919049263,1.45599150657654,0,0,0,0,0,0
0.9925,3.00012683868408,-0.851933658123016,-0.767774999141693,-0.000116900230973271,0.000191217842257686,-3.25050230369504e-05,0.24013464152813,-0.0273477472364902,1.45560836791992,0,0,0,0,0,0
0.995,3.0001266002655,-0.851933181285858,-0.767775058746338,-0.000122576730119065,0.00019584636616654,-1.94788541433729e-05,0.242449954152107,-0.0275130420923233,1.45575559139252,0,0,0,0,0,0
0.9975,3.00012636184692,-0.8519327044487,-0.767775058746338,-0.00011101954103215,0.000210827683190615,-2.02869042390388e-05,0.208477199077606,-0.0422741919755936,1.42463803291321,0,0,0,0,0,0
1,3.00012612342834,-0.851932168006897,-0.767775118350983,-0.000113587427190395,0.000228369367282527,-4.96606090336416e-07,0.210220232605934,-0.0421392656862736,1.4248583316803,0,0,0,0,0,0
1.0025,3.00012588500977,-0.851931571960449,-0.767775118350983,-9.45417201841026e-05,0.000203071606210186,4.47805373688061e-06,0.211138814687729,-0.0409417822957039,1.42523813247681,0,0,0,0,0,0
