k,stage,traceP,rcondP,K_norm,y_norm
NaN,accel_post,0.0687473934379,5.32226935877e-06,0.205540545458,0.0701104548797
NaN,mag_post,0.0687473934379,5.32226935877e-06,0.205540545458,0.0701104548797
NaN,baro_post,0.0687030142845,5.32250343241e-06,0.00290399919967,3.55378430688
225,post_predict,0.068812469704,5.55268615323e-06,NaN,NaN
226,post_predict,0.068922681672,5.78452814948e-06,NaN,NaN
227,post_predict,0.0690336506064,6.01881259845e-06,NaN,NaN
228,post_predict,0.0691453783727,6.25582619221e-06,NaN,NaN
NaN,baro_post,0.0691034060494,6.25634691804e-06,0.00285149453398,5.16739728281
229,post_predict,0.0692158123238,6.49596349391e-06,NaN,NaN
230,post_predict,0.0693289822374,6.73844990022e-06,NaN,NaN
230,gps_pre,0.0693289822374,6.73844990022e-06,0.00637383699464,4.99112363052
230,gps_post,0.0692648519798,6.74255490055e-06,0.00635751933872,4.99112363052
231,post_predict,0.0693787004161,6.99258343549e-06,NaN,NaN
232,post_predict,0.069493320634,7.24140270958e-06,NaN,NaN
NaN,baro_post,0.0694534825312,7.24255245529e-06,0.00280943540963,4.71513707286
233,post_predict,0.0695687932951,7.49400232693e-06,NaN,NaN
234,post_predict,0.0696848748539,7.74887834752e-06,NaN,NaN
235,post_predict,0.0698017333883,8.00570231133e-06,NaN,NaN
236,post_predict,0.0699193710588,8.26555043561e-06,NaN,NaN
NaN,baro_post,0.0698825195324,8.26800208854e-06,0.00269882544172,3.10640247547
237,post_predict,0.0700008583017,8.53116740415e-06,NaN,NaN
238,post_predict,0.0701199849715,8.7947388739e-06,NaN,NaN
239,post_predict,0.0702398918038,9.06264325768e-06,NaN,NaN
240,post_predict,0.0703605930255,9.33024777633e-06,NaN,NaN
NaN,accel_post,0.0702447159926,9.54200323626e-06,0.246437553516,0.0458256132772
NaN,mag_post,0.0702447159926,9.54200323626e-06,0.246437553516,0.0458256132772
NaN,baro_post,0.0702105195328,9.5430016797e-06,0.00257586015349,3.17733315341
240,gps_pre,0.0701476340318,9.54304007743e-06,0.00490886294003,7.75542022992
240,gps_post,0.0700902317632,9.54627146018e-06,0.00489180654415,7.75542022992
241,post_predict,0.0702110816562,9.8645781232e-06,NaN,NaN
242,post_predict,0.0703327144492,1.01788655001e-05,NaN,NaN
243,post_predict,0.0704551307438,1.04928896253e-05,NaN,NaN
244,post_predict,0.0705783351625,1.08082700171e-05,NaN,NaN
NaN,accel_post,0.0705147007972,1.09120285031e-05,0.193579639426,0.0457696894433
NaN,mag_post,0.0705147007972,1.09120285031e-05,0.193579639426,0.0457696894433
NaN,baro_post,0.070483040743,1.09126615418e-05,0.00246092341204,3.99080562739
245,post_predict,0.0706067758578,1.12580324635e-05,NaN,NaN
246,post_predict,0.0707312936317,1.16011603305e-05,NaN,NaN
247,post_predict,0.0708565990746,1.19433319066e-05,NaN,NaN
248,post_predict,0.0709826928193,1.22848147785e-05,NaN,NaN
NaN,accel_post,0.0709365630514,1.2358375459e-05,0.168978094366,0.0309921713709
NaN,mag_post,0.0709365630514,1.2358375459e-05,0.168978094366,0.0309921713709
NaN,baro_post,0.0709071828465,1.23588557111e-05,0.00235401198005,4.75720641727
249,post_predict,0.0710338623703,1.27275606676e-05,NaN,NaN
250,post_predict,0.0711613291738,1.30931218069e-05,NaN,NaN
250,gps_pre,0.0711613291738,1.30931218069e-05,0.00364019924269,5.68914035841
250,gps_post,0.0711176497409,1.30966666574e-05,0.00363029483487,5.68914035841
251,post_predict,0.0712458494239,1.34621771732e-05,NaN,NaN
252,post_predict,0.0713748398364,1.38240273482e-05,NaN,NaN
NaN,accel_post,0.0713366204778,1.38851247092e-05,0.156756758502,0.0388451683293
NaN,mag_post,0.0713366204778,1.38851247092e-05,0.156756758502,0.0388451683293
NaN,baro_post,0.0713089834824,1.38855109818e-05,0.00227856982936,3.280927802
253,post_predict,0.0714386005701,1.42644722833e-05,NaN,NaN
254,post_predict,0.0715690037655,1.4647129536e-05,NaN,NaN
255,post_predict,0.0717002048058,1.50246742889e-05,NaN,NaN
256,post_predict,0.0718322028906,1.54015304916e-05,NaN,NaN
NaN,accel_post,0.0717984971908,1.5456738064e-05,0.148851067337,0.257547895725
NaN,mag_post,0.0717984971908,1.5456738064e-05,0.148851067337,0.257547895725
NaN,baro_post,0.0717721077496,1.54571056536e-05,0.00223698203335,2.59358662628
257,post_predict,0.0718082415634,1.5860803293e-05,NaN,NaN
258,post_predict,0.0719414170301,1.62590018486e-05,NaN,NaN
259,post_predict,0.0720753921153,1.66510913976e-05,NaN,NaN
260,post_predict,0.0722101704835,1.70407242145e-05,NaN,NaN
NaN,accel_post,0.0721824211758,1.70867261892e-05,0.127926276369,0.0380668779857
NaN,mag_post,0.0721824211758,1.70867261892e-05,0.127926276369,0.0380668779857
260,gps_pre,0.0721824211758,1.70867261892e-05,0.00369139236406,3.95726358164
