time,x,y,z,vx,vy,vz,roll,pitch,yaw
0.4375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.44,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.445,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.45,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.455,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.46,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.465,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.47,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.48,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.485,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.49,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.495,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4975,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.505,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.51,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.515,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.52,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.53,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.535,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.54,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.545,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.55,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.555,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.56,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.565,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.57,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.58,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.585,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.59,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.595,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.5975,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.605,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.61,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.615,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.62,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.63,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.635,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.64,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.645,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.65,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.655,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.66,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.665,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.67,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.68,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.685,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.69,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.695,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.6975,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.705,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
