t     , x                    , y                  , vx                  , vy                   , theta            , ax                  , ay                   , omega, z, vz, meas_pos_x         , meas_pos_y          , meas_vel_x          , meas_vel_y           , meas_heading_x       , meas_heading_y       , accel3_x            , accel3_y             , accel3_z         , gyro3_x              , gyro3_y              , gyro3_z              , mag3_x              , mag3_y               , mag3_z               , gps_x              , gps_y               , baro
 84.54, -41.4752058425595    , 27.925029996713    , -5.5850059993426    , -8.29504116851189    , 21.3985714634504 , 1.65900823370238    , -1.11700119986852    ,   0.2, 0,  0, -41.4299740116831  , 27.6732177572291    , -5.71678141775598   , -8.27635721368606    , -0.827607334412388   , 0.561307491511402    , 4.52069362105573    , -0.0436205391176649  , -9.89276329575153, 0.0047528986438642   , -0.000623418555277792, -0.455850993732423   , -0.778433293844291  , 0.427951259698469    , 0.248695552689043    , -47.8954131197663  , 22.9756644766967    , 0.291135363374093
 84.55, -41.5203333505286    , 27.8578879038053   , -5.57157758076105   , -8.30406667010573    , 21.4001894318114 , 1.66081333402115    , -1.11431551615221    ,   0.2, 0,  0, -41.5635542426892  , 27.6974331205047    , -5.87766027692108   , -8.41723319143602    , -0.829596563564435   , 0.558363270391311    , -1.51979297873616   , 0.148939696547614    , -9.87541663291827, 0.00423301358043731  , -0.00186998014359346 , 0.159707747168169    , -0.647836443615023  , 0.35475195509016     , 0.0153767655319995   , -41.6883466944155  , 29.9098649583775    , -0.453001942322887
 84.56, -41.2920402432       , 28.1951664750175   , -5.6390332950035    , -8.25840804864001    , 21.3920438687343 , 1.651681609728      , -1.1278066590007     ,   0.2, 0,  0, -41.5462134939544  , 28.2834079340111    , -5.7271076182521    , -8.36927417968623    , -0.824979079252998   , 0.565163267379326    , 8.29557779294382    , -0.0795749595961556  , -9.78223523282306, 0.00193380225636152  , -0.0041789324689678  , -0.81241005847967    , -0.647269917734713  , 0.574305269595168    , -0.0378017369038547  , -41.295070421461   , 28.0350681046295    , -0.874551653415681
 84.57, -40.7836637074745    , 28.9256421639283   , -5.78512843278565   , -8.15673274149491    , 21.3742442918176 , 1.63134654829898    , -1.15702568655713    ,   0.2, 0,  0, -40.8284114758583  , 28.8071642347682    , -5.9536810385687    , -8.184385001962      , -0.815267626999022   , 0.579084360320138    , 17.822706493539     , 0.177760975243908    , -9.89239622189447, 0.00210508819229896  , -0.00129393877545851 , -1.77916353087835    , -0.861396405766428  , 0.605376963017915    , 0.169816302413465    , -38.2031043076453  , 29.5611905862016    , -0.439901781681505
 84.58, -41.5753033038059    , 27.7757836108462   , -5.55515672216923   , -8.31506066076117    , 21.4021655708614 , 1.66301213215223    , -1.11103134443385    ,   0.2, 0,  0, -41.6514466228279  , 27.6730301686221    , -5.75266899834033   , -8.39263816169371    , -0.831497725784151   , 0.555528155916318    , -28.0060316462777   , 0.458471091245211    , -9.8080707864709 , 0.00184343970962741  , -0.00147283773771359 , 2.7921771606436      , -0.833381834939539  , 0.461777594252316    , 0.257857897798387    , -39.7593406173441  , 26.2614621261114    , -0.331630495963048
 84.59, -41.8972197430822    , 27.2877807415679   , -5.45755614831359   , -8.37944394861643    , 21.4138579767403 , 1.67588878972329    , -1.09151122966272    ,   0.2, 0,  0, -40.9686126641764  , 25.3092179674085    , -5.39321747025003   , -8.39231291052113    , -0.837502688527315   , 0.546433204252376    , -11.6389397756057   , 0.14766368278616     , -9.68277512341257, -0.000696105580955759, 0.000115327699045415 , 1.1691749010561      , -0.919978006173     , 0.726376896804796    , -0.06806714717228    , -39.9338736971909  , 28.8228750561668    , -1.11116256046728
 84.6 , -41.6703903769374    , 27.6329253940592   , -5.52658507881183   , -8.33407807538749    , 21.4055977742639 , 1.6668156150775     , -1.10531701576237    ,   0.2, 0,  0, -41.8267742241939  , 27.5996140300678    , -5.41159754632643   , -8.45156838840066    , -0.831816498280877   , 0.555050730283043    , 8.26146829996852    , 0.120009629630324    , -9.8134582843443 , 0.00146860713187569  , -0.0026778625723218  , -0.825799116676188   , -0.949860411292591  , 0.379796594673273    , 0.219751622696281    , -40.1392130964456  , 28.1011584591131    , -1.29218364655115
 84.61, -41.6577974677007    , 27.6519060851151   , -5.53038121702303   , -8.33155949354014    , 21.4051422095572 , 1.66631189870803    , -1.10607624340461    ,   0.2, 0,  0, -41.6031742128811  , 27.4936852982047    , -5.2907508778264    , -8.37851484374344    , -0.833587583983189   , 0.552387309619862    , 0.434631962613187   , 0.265963942964063    , -9.84485732184954, -0.000110235542438183, -0.00239462453794208 , -0.0429502277473303  , -0.80465410224789   , 0.468672241679856    , -0.0359331659677302  , -43.5892713881474  , 29.9414266233657    , -1.08612158950004
 84.62, -41.7886717682018    , 27.4537230963214   , -5.49074461926429   , -8.35773435364036    , 21.4098921436885 , 1.67154687072807    , -1.09814892385286    ,   0.2, 0,  0, -41.9619310608177  , 27.6709217564168    , -5.53550926967362   , -8.36827359628582    , -0.836842978945322   , 0.547442991178003    , -4.75348955759459   , 0.0882655366046502   , -9.74663475634207, 0.00240925121281884  , -0.00273138460633067 , 0.473803306515731    , -0.750894115513452  , 0.498402726684385    , 0.0958382856429014   , -42.1075726309824  , 27.667766381127     , -0.629963976788867
 84.63, -41.6926415478701    , 27.5993413102706   , -5.51986826205413   , -8.33852830957403    , 21.4064035050824 , 1.66770566191481    , -1.10397365241083    ,   0.2, 0,  0, -41.7433543139094  , 27.8800012516094    , -5.53636780577015   , -8.34466496240637    , -0.833838349757993   , 0.552008701446696    , 3.47611561430801    , 0.144347434422414    , -9.94517004349586, -0.000968689961090932, -0.000319020920104852, -0.346579785678311   , 1.08912859668616    , 0.939651865257429    , -0.0629946663201142  , -43.399266370905   , 26.7951965355568    , -1.51532962998472
 84.64, -41.7860409232316    , 27.4577272177071   , -5.49154544354142   , -8.35720818464632    , 21.4097963223269 , 1.67144163692926    , -1.09830908870828    ,   0.2, 0,  0, -41.7162684300096  , 27.4169487227959    , -5.5958136837366    , -8.60563239959536    , -0.835976676595804   , 0.548764973543169    , -3.34460059476138   , 0.171566141844027    , -9.80378179172805, 0.00364212148017877  , 0.00387566494769739  , 0.339615192274401    , -0.779961441426959  , 0.361989471540087    , 0.145520870714972    , -40.676487498895   , 27.9054132760091    , -0.628949485891817
 84.65, -41.7582714999778    , 27.4999411151031   , -5.49998822302063   , -8.35165429999556    , 21.4087857473978 , 1.67033085999911    , -1.09999764460413    ,   0.2, 0,  0, -41.7306524709723  , 27.5968833220044    , -5.43873374341098   , -8.50308299065168    , -0.834640877029926   , 0.550794522840157    , 1.05700216488174    , 0.0831234774660909   , -9.80852302587232, -0.0102306735774845  , -0.0152021095449685  , -0.104370506484312   , -0.859104752386016  , 0.286518986786542    , 0.057893299733349    , -37.7528635712854  , 30.4571550136895    , -0.322831900995953
 84.66, -41.8308038390462    , 27.3894842992568   , -5.47789685985136   , -8.36616076780925    , 21.4114285987777 , 1.67323215356185    , -1.09557937197027    ,   0.2, 0,  0, -41.9067006639124  , 27.4554684921391    , -5.34822166782526   , -8.44326595782578    , -0.835159254050722   , 0.550008200278361    , -2.68429688214064   , 0.033916773185871    , -9.77415233849821, 0.0012752215410849   , 0.000201505224075789 , 0.264813497598089    , -0.835222140917384  , 0.468352734350248    , 0.0684157693282608   , -40.9265460153146  , 29.4656369579172    , 0.022740017311476
 84.67, -42.4428254129193    , 26.4311666592386   , -5.28623333184773   , -8.48856508258387    , 21.4341706200889 , 1.69771301651677    , -1.05724666636955    ,   0.2, 0,  0, -42.2274252358589  , 26.426184189498     , -5.36189106142146   , -8.62230157173716    , -0.848745762316112   , 0.528801126086586    , -22.6550730461343   , 0.366002701647982    , -9.81814177519583, 0.00105769700140365  , -0.00236079768527271 , 2.27478640601776     , -0.705208459756712  , 0.372669512937941    , 0.0336050688130494   , -41.6858591035841  , 27.8642365998646    , 0.653592608301641
 84.68, -42.1022507401443    , 26.9703630419395   , -5.39407260838791   , -8.42045014802886    , 21.4214155526862 , 1.68409002960577    , -1.07881452167758    ,   0.2, 0,  0, -42.1094613619439  , 27.0099972826729    , -5.41249323984527   , -8.55809712396809    , -0.840190815358767   , 0.542290875625591    , 12.7993993098372    , 0.264994069485812    , -9.82138033698384, 0.00286607502691473  , 0.00138178263583511  , -1.27536976941645    , -1.01475616656987   , 0.464964443208051    , 0.117078900756496    , -43.1048763245476  , 27.7650779540316    , -0.798946807466351
 84.69, -42.630936164864     , 26.1266775864687   , -5.22533551729374   , -8.52618723297281    , 21.441328826496  , 1.70523744659456    , -1.04506710345875    ,   0.2, 0,  0, -42.5478734431489  , 26.0725950701766    , -5.20063126019572   , -8.49665893651676    , -0.851172124400609   , 0.524886668380284    , -19.7458560105706   , 0.385865244206814    , -9.75809687052654, 0.00340594525048311  , -0.0015404839424177  , 1.99196732506396     , -0.761946903411118  , 0.384757863957071    , 0.0356896740067465   , -42.281011059362   , 25.6899665164028    , -1.09445742815581
 84.7 , -41.995815230696     , 27.1357974474539   , -5.42715948949077   , -8.3991630461392     , 21.4174812364755 , 1.67983260922784    , -1.08543189789815    ,   0.2, 0,  0, -41.7788113799411  , 27.0690441772326    , -5.4078900830899    , -8.30255822562912    , -0.838355380687071   , 0.545124073650243    , 23.7348990636906    , 0.291101267418611    , -9.77784662055303, -0.00071152044283472 , 0.000235754586335168 , -2.38085403486935    , -0.72747411343059   , 0.393929816491392    , 0.113457364746562    , -40.8937236134151  , 26.904669439507     , -1.11846913287718
 84.71, -42.5734240483087    , 26.2202891822896   , -5.24405783645792   , -8.51468480966173    , 21.4391314845309 , 1.70293696193235    , -1.04881156729158    ,   0.2, 0,  0, -42.5199854354387  , 26.2319631474241    , -5.2199690780284    , -8.54748975324427    , -0.851269856540608   , 0.5247281499456      , -21.6302434884358   , 0.350476857966718    , -9.80890677003365, -0.00578640064258129 , 0.000594304662402922 , 2.16787088471        , -0.853811122708752  , 0.3341760082962      , -0.177612396265708   , -42.0737623180082  , 26.1467905775203    , -0.854392221797578
